"subgroup","RD","SE","ci.lb","ci.ub","z","P-value","int_Pval","Y","V"
"1",-0.0864,0.1061,-0.2944,0.1216,-0.8143,0.4155,NA,"t3_ratio_ifn_il5","ch_qpcr_pos_trichuris"
"0",-0.1254,0.0916,-0.305,0.0541,-1.3693,0.1709,0.331763240567257,"t3_ratio_ifn_il5","ch_qpcr_pos_ascaris"
"1",-0.0788,0.1076,-0.2896,0.1321,-0.7322,0.464,NA,"t3_ratio_ifn_il5","ch_qpcr_pos_ascaris"
"0",0.1742,0.1031,-0.0279,0.3764,1.6893,0.0912,0.0668295306255098,"t3_ratio_il12_il13","diar7d_t2"
"1",-0.0804,0.1737,-0.4209,0.2601,-0.4627,0.6436,NA,"t3_ratio_il12_il13","diar7d_t2"
"0",0.1805,0.1051,-0.0254,0.3865,1.7183,0.0857,0.0488641881828424,"t3_ratio_il12_il13","diar7d_t3"
"1",-0.069,0.1771,-0.416,0.2781,-0.3896,0.6969,NA,"t3_ratio_il12_il13","diar7d_t3"
"0",0.1827,0.1068,-0.0265,0.392,1.7114,0.087,0.0651404113119456,"t3_ratio_il12_il13","fever7d_t2"
"1",-0.0763,0.1728,-0.415,0.2624,-0.4416,0.6588,NA,"t3_ratio_il12_il13","fever7d_t2"
"0",0.1599,0.1222,-0.0795,0.3994,1.3094,0.1904,0.0576993878447314,"t3_ratio_il12_il13","fever7d_t3"
"1",-0.0967,0.193,-0.4749,0.2815,-0.501,0.6164,NA,"t3_ratio_il12_il13","fever7d_t3"
"0",0.2174,0.098,0.0252,0.4095,2.2174,0.0266,0.240249859750763,"t3_ratio_il12_il13","ch_pos_giardia"
"1",-0.0383,0.186,-0.4028,0.3261,-0.2062,0.8366,NA,"t3_ratio_il12_il13","ch_pos_giardia"
"0",0.1513,0.104,-0.0525,0.3551,1.4548,0.1457,0.223153188798982,"t3_ratio_il12_il13","ch_pos_entamoeba"
"1",-0.1059,0.1806,-0.4599,0.2481,-0.5864,0.5576,NA,"t3_ratio_il12_il13","ch_pos_entamoeba"
"0",0.1464,0.1057,-0.0608,0.3536,1.3851,0.166,0.221499478802582,"t3_ratio_il12_il13","ch_pos_crypto"
"1",0.3959,0.2368,-0.0682,0.8601,1.672,0.0945,NA,"t3_ratio_il12_il13","ch_pos_crypto"
"0",0.2179,0.1015,0.019,0.4168,2.1475,0.0318,0.455380888945673,"t3_ratio_il12_il13","ch_qpcr_pos_trichuris"
"1",0.2188,0.1016,0.0196,0.418,2.1524,0.0314,NA,"t3_ratio_il12_il13","ch_qpcr_pos_trichuris"
"0",0.2193,0.1012,0.021,0.4176,2.168,0.0302,0.453353381202155,"t3_ratio_il12_il13","ch_qpcr_pos_ascaris"
"1",0.2202,0.1013,0.0215,0.4188,2.1724,0.0298,NA,"t3_ratio_il12_il13","ch_qpcr_pos_ascaris"
"0",0.0639,0.1096,-0.1509,0.2786,0.5828,0.56,0.0279966393478267,"t3_ratio_ifn_il13","diar7d_t2"
"1",-0.1872,0.2071,-0.593,0.2187,-0.904,0.366,NA,"t3_ratio_ifn_il13","diar7d_t2"
"0",0.1023,0.1123,-0.1179,0.3224,0.9106,0.3625,0.0212119653415906,"t3_ratio_ifn_il13","diar7d_t3"
"1",-0.1316,0.2173,-0.5574,0.2943,-0.6055,0.5449,NA,"t3_ratio_ifn_il13","diar7d_t3"
"0",0.0794,0.1109,-0.1379,0.2967,0.7161,0.4739,0.0289996152290513,"t3_ratio_ifn_il13","fever7d_t2"
"1",-0.1679,0.2068,-0.5733,0.2375,-0.8117,0.4169,NA,"t3_ratio_ifn_il13","fever7d_t2"
"0",0.0506,0.1276,-0.1994,0.3007,0.3969,0.6914,0.0229773550104261,"t3_ratio_ifn_il13","fever7d_t3"
"1",-0.2032,0.2257,-0.6455,0.2391,-0.9004,0.3679,NA,"t3_ratio_ifn_il13","fever7d_t3"
"0",0.1576,0.1075,-0.0532,0.3684,1.4656,0.1427,0.262254851514727,"t3_ratio_ifn_il13","ch_pos_giardia"
"1",-0.1399,0.195,-0.522,0.2423,-0.7174,0.4731,NA,"t3_ratio_ifn_il13","ch_pos_giardia"
"0",0.0774,0.1092,-0.1366,0.2915,0.7092,0.4782,0.239563913906473,"t3_ratio_ifn_il13","ch_pos_entamoeba"
"1",-0.1664,0.216,-0.5899,0.257,-0.7702,0.4412,NA,"t3_ratio_ifn_il13","ch_pos_entamoeba"
"0",0.0751,0.1112,-0.1429,0.293,0.6752,0.4995,0.236682468458543,"t3_ratio_ifn_il13","ch_pos_crypto"
"1",0.1054,0.2694,-0.4226,0.6334,0.3913,0.6956,NA,"t3_ratio_ifn_il13","ch_pos_crypto"
"0",0.1947,0.0861,0.026,0.3635,2.2616,0.0237,0.107627656256256,"t3_ratio_ifn_il13","ch_qpcr_pos_trichuris"
"1",0.1957,0.0861,0.0269,0.3646,2.2722,0.0231,NA,"t3_ratio_ifn_il13","ch_qpcr_pos_trichuris"
"0",0.195,0.086,0.0264,0.3635,2.2665,0.0234,0.114760123123919,"t3_ratio_ifn_il13","ch_qpcr_pos_ascaris"
"1",0.1959,0.0861,0.0273,0.3646,2.2769,0.0228,NA,"t3_ratio_ifn_il13","ch_qpcr_pos_ascaris"
"0",-0.0102,0.0675,-0.1424,0.1221,-0.1506,0.8803,0.0486892852425604,"t3_ratio_il12_il17","diar7d_t2"
"1",-0.0029,0.0664,-0.1331,0.1273,-0.0442,0.9647,NA,"t3_ratio_il12_il17","diar7d_t2"
"0",-0.0215,0.0696,-0.158,0.115,-0.3083,0.7578,0.0486266086318846,"t3_ratio_il12_il17","diar7d_t3"
"1",-0.0145,0.068,-0.1478,0.1188,-0.2134,0.831,NA,"t3_ratio_il12_il17","diar7d_t3"
"0",0.0082,0.0748,-0.1385,0.1549,0.1092,0.913,0.0586953677488538,"t3_ratio_il12_il17","fever7d_t2"
"1",0.0152,0.0735,-0.1289,0.1593,0.2066,0.8363,NA,"t3_ratio_il12_il17","fever7d_t2"
"0",0.0044,0.0795,-0.1513,0.1602,0.0557,0.9556,0.0453486112835897,"t3_ratio_il12_il17","fever7d_t3"
"1",0.0111,0.0776,-0.1409,0.1631,0.1432,0.8861,NA,"t3_ratio_il12_il17","fever7d_t3"
"0",0.0033,0.0746,-0.1428,0.1495,0.0444,0.9646,0.735540732260057,"t3_ratio_il12_il17","ch_pos_giardia"
"1",-0.124,0.1026,-0.3251,0.0771,-1.2086,0.2268,NA,"t3_ratio_il12_il17","ch_pos_giardia"
"0",-0.0285,0.0652,-0.1563,0.0994,-0.4362,0.6627,0.586614380706344,"t3_ratio_il12_il17","ch_pos_entamoeba"
"1",-0.0215,0.0637,-0.1464,0.1033,-0.3381,0.7353,NA,"t3_ratio_il12_il17","ch_pos_entamoeba"
"0",-0.0178,0.0665,-0.1482,0.1126,-0.2674,0.7892,0.647157001713137,"t3_ratio_il12_il17","ch_pos_crypto"
"1",-0.7278,0.4514,-1.6125,0.1568,-1.6125,0.1068,NA,"t3_ratio_il12_il17","ch_pos_crypto"
"0",-0.1057,0.0439,-0.1916,-0.0197,-2.4093,0.016,0.0487490558352696,"t3_ratio_il12_il17","ch_qpcr_pos_trichuris"
"1",-0.2987,0.0918,-0.4786,-0.1189,-3.2553,0.0011,NA,"t3_ratio_il12_il17","ch_qpcr_pos_trichuris"
"0",-0.1083,0.0436,-0.1937,-0.0228,-2.4823,0.0131,0.0484328603657478,"t3_ratio_il12_il17","ch_qpcr_pos_ascaris"
"1",-0.2913,0.0934,-0.4744,-0.1082,-3.1178,0.0018,NA,"t3_ratio_il12_il17","ch_qpcr_pos_ascaris"
