"","type","est","ci.lb","ci.ub","pval","Y","Z"
"62","ACME",0.00213916040389459,-0.0152649870507895,0.0171203928207418,0.832,"ch_pos_giardia","t2_ratio_il12_il4"
"63","ADE",-0.011045520218364,-0.0996766199723512,0.0698444002816814,0.824,"ch_pos_giardia","t2_ratio_il12_il4"
"64","Prop",-0.246745506464719,-1.66189245089284,2.72464622406867,0.9,"ch_pos_giardia","t2_ratio_il12_il4"
"65","TE",0.552,-0.13063094219945,0.0722975103987355,0.552,"any_pathogen","t2_ratio_il12_il5"
"66","ACME",-0.012774456972627,-0.0337971956628248,0.00349129136154292,0.128,"any_pathogen","t2_ratio_il12_il5"
"67","ADE",-0.0183246521251535,-0.116442457678375,0.0856573341482455,0.732,"any_pathogen","t2_ratio_il12_il5"
"68","Prop",0.411767188514886,-3.0656832427992,2.87768932570468,0.608,"any_pathogen","t2_ratio_il12_il5"
"69","TE",0.35,-0.128566748679464,0.0460062832982693,0.35,"ch_pos_ascaris","t2_ratio_il12_il5"
"70","ACME",-0.0158440120107339,-0.0404032793305933,-0.00098082648784794,0.032,"ch_pos_ascaris","t2_ratio_il12_il5"
"71","ADE",-0.0234801346457377,-0.116714272092772,0.0692674311808021,0.62,"ch_pos_ascaris","t2_ratio_il12_il5"
"72","Prop",0.424788830645301,-3.32531446008186,4.13817649268915,0.366,"ch_pos_ascaris","t2_ratio_il12_il5"
"73","TE",0.334,-0.0255337661047959,0.0626216936152589,0.334,"ch_pos_trichuris","t2_ratio_il12_il5"
"74","ACME",-0.00401202077715497,-0.0149159819796137,0.00294079886845043,0.274,"ch_pos_trichuris","t2_ratio_il12_il5"
"75","ADE",0.0264920139219137,-0.0213358704135546,0.0695228768677611,0.276,"ch_pos_trichuris","t2_ratio_il12_il5"
"76","Prop",-0.112124813233149,-2.2504492481665,1.40057845113685,0.524,"ch_pos_trichuris","t2_ratio_il12_il5"
"77","TE",0.928,-0.0933160635550219,0.087511310770132,0.928,"ch_pos_giardia","t2_ratio_il12_il5"
"78","ACME",-0.00195141303847094,-0.0186966459943829,0.0152668058750819,0.798,"ch_pos_giardia","t2_ratio_il12_il5"
"79","ADE",-0.00385037559058958,-0.0929834573417371,0.0885834053759143,0.962,"ch_pos_giardia","t2_ratio_il12_il5"
"80","Prop",0.339471992211671,-2.57711684693346,2.27087373827395,0.97,"ch_pos_giardia","t2_ratio_il12_il5"
"81","TE",0.558,-0.124295183636039,0.0630811842514189,0.558,"any_pathogen","t2_ratio_ifn_il5"
"82","ACME",-0.00278731435160489,-0.0151833289787779,0.0101898491667819,0.684,"any_pathogen","t2_ratio_ifn_il5"
"83","ADE",-0.0258868162473488,-0.121461111878806,0.0674279603881611,0.584,"any_pathogen","t2_ratio_ifn_il5"
"84","Prop",0.0976032757991811,-1.37340199393811,1.29306597103806,0.854,"any_pathogen","t2_ratio_ifn_il5"
"85","TE",0.4,-0.125020181176919,0.0522603479250461,0.4,"ch_pos_ascaris","t2_ratio_ifn_il5"
"86","ACME",-0.00459942880520562,-0.019452678623532,0.00738997420937979,0.446,"ch_pos_ascaris","t2_ratio_ifn_il5"
"87","ADE",-0.03522615511157,-0.119614701781152,0.0581747789514096,0.424,"ch_pos_ascaris","t2_ratio_ifn_il5"
"88","Prop",0.125107486310866,-1.27097846661172,1.0571067084638,0.586,"ch_pos_ascaris","t2_ratio_ifn_il5"
"89","TE",0.338,-0.0206009238271424,0.066041574757774,0.338,"ch_pos_trichuris","t2_ratio_ifn_il5"
"90","ACME",0.000553064586845961,-0.00563549633024771,0.00648007542049349,0.936,"ch_pos_trichuris","t2_ratio_ifn_il5"
"91","ADE",0.0217799302304237,-0.0212225514497493,0.0655992452920267,0.342,"ch_pos_trichuris","t2_ratio_ifn_il5"
"92","Prop",0.0166455613816522,-0.92439521310916,0.8812217309299,0.914,"ch_pos_trichuris","t2_ratio_ifn_il5"
"93","TE",0.954,-0.0844897967999136,0.0804477187690765,0.954,"ch_pos_giardia","t2_ratio_ifn_il5"
"94","ACME",0.000221013502048921,-0.00853809289021658,0.0121476054163445,0.952,"ch_pos_giardia","t2_ratio_ifn_il5"
"95","ADE",-0.0029535828092625,-0.0846183366221549,0.0832177044537374,0.952,"ch_pos_giardia","t2_ratio_ifn_il5"
"96","Prop",-0.0814524545311218,-1.73307677827017,1.43159833296609,0.978,"ch_pos_giardia","t2_ratio_ifn_il5"
"97","TE",0.508,-0.133511873994427,0.0665322458327474,0.508,"any_pathogen","t2_ratio_il12_il13"
"98","ACME",0.00188869237331503,-0.0116516835127387,0.0178811999397926,0.764,"any_pathogen","t2_ratio_il12_il13"
"99","ADE",-0.0308457496400553,-0.137432779509929,0.06464127673746,0.49,"any_pathogen","t2_ratio_il12_il13"
"100","Prop",-0.065560765421241,-1.28252647007478,1.70901611774544,0.868,"any_pathogen","t2_ratio_il12_il13"
"101","TE",0.35,-0.126514244994786,0.0494230820165609,0.35,"ch_pos_ascaris","t2_ratio_il12_il13"
"102","ACME",-0.0079023850661726,-0.0235201555409222,0.00166654953576025,0.134,"ch_pos_ascaris","t2_ratio_il12_il13"
"103","ADE",-0.0300988704429656,-0.121418511896365,0.0607130837779795,0.428,"ch_pos_ascaris","t2_ratio_il12_il13"
"104","Prop",0.222817755753133,-1.88056204005187,1.51704268929093,0.428,"ch_pos_ascaris","t2_ratio_il12_il13"
"105","TE",0.298,-0.019832760472768,0.0635486013093472,0.298,"ch_pos_trichuris","t2_ratio_il12_il13"
"106","ACME",-0.00296995533279596,-0.00991011291690474,0.000810745945505664,0.144,"ch_pos_trichuris","t2_ratio_il12_il13"
"107","ADE",0.0254568093582417,-0.017480824663478,0.066234554279859,0.25,"ch_pos_trichuris","t2_ratio_il12_il13"
"108","Prop",-0.084477892731463,-1.12671544674803,0.942366393581486,0.414,"ch_pos_trichuris","t2_ratio_il12_il13"
"109","TE",0.858,-0.0964434448198063,0.0781840590817004,0.858,"ch_pos_giardia","t2_ratio_il12_il13"
"110","ACME",0.00703448634296922,-0.00418607297336124,0.023711103477449,0.216,"ch_pos_giardia","t2_ratio_il12_il13"
"111","ADE",-0.0123068511383349,-0.101542503060703,0.068046470994172,0.738,"ch_pos_giardia","t2_ratio_il12_il13"
"112","Prop",-1.37433984843074,-3.06038699092229,2.9942863371312,0.894,"ch_pos_giardia","t2_ratio_il12_il13"
